2026-09-22 14:35:08 | SUCCESS  | __main__:main:31 | ✅ Bot tasdiqlandi: @baaztrucksbot (id=8827463818)
2026-09-22 14:35:08 | SUCCESS  | __main__:main:42 | 🚀 Bot polling boshlandi. Telegramda /start bosing.
2026-09-22 14:35:42 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:36:00 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:36:34 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:37:01 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:37:04 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:38:02 | INFO     | __main__:main:52 | Bot to'xtatildi.
2026-09-22 14:41:05 | INFO     | __main__:main:15 | ============================================================
2026-09-22 14:41:05 | INFO     | __main__:main:16 | 🚛 Truck Factory Bot ishga tushmoqda...
2026-09-22 14:41:05 | INFO     | __main__:main:17 | Environment: development
2026-09-22 14:41:05 | INFO     | __main__:main:18 | Bot: @baaztrucksbot
2026-09-22 14:41:05 | INFO     | __main__:main:19 | Adminlar: 1 ta
2026-09-22 14:41:05 | INFO     | __main__:main:20 | ============================================================
2026-09-22 14:41:06 | SUCCESS  | __main__:main:31 | ✅ Bot tasdiqlandi: @baaztrucksbot (id=8827463818)
2026-09-22 14:41:06 | SUCCESS  | __main__:main:42 | 🚀 Bot polling boshlandi. Telegramda /start bosing.
2026-09-22 14:45:58 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:46:08 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:46:14 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:46:37 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:46:51 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:46:55 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:47:02 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:47:16 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:48:09 | INFO     | __main__:main:52 | Bot to'xtatildi.
2026-09-22 14:48:53 | INFO     | __main__:main:15 | ============================================================
2026-09-22 14:48:53 | INFO     | __main__:main:16 | 🚛 Truck Factory Bot ishga tushmoqda...
2026-09-22 14:48:53 | INFO     | __main__:main:17 | Environment: development
2026-09-22 14:48:53 | INFO     | __main__:main:18 | Bot: @baaztrucksbot
2026-09-22 14:48:53 | INFO     | __main__:main:19 | Adminlar: 1 ta
2026-09-22 14:48:53 | INFO     | __main__:main:20 | ============================================================
2026-09-22 14:48:54 | SUCCESS  | __main__:main:31 | ✅ Bot tasdiqlandi: @baaztrucksbot (id=8827463818)
2026-09-22 14:48:54 | SUCCESS  | __main__:main:42 | 🚀 Bot polling boshlandi. Telegramda /start bosing.
2026-09-22 14:49:05 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:10 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:12 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:19 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:25 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:29 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:31 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:40 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:49 | DEBUG    | src.bot.middlewares.user:__call__:43 | 👤 User topildi: Max ️ (role=admin, step=None, active=True)
2026-09-22 14:49:49 | SUCCESS  | src.services.user_service:create_user_from_invite:84 | 👤 Yangi user yaratildi: Test User (@None), role=worker, step=3
2026-09-22 14:50:21 | INFO     | __main__:main:52 | Bot to'xtatildi.
2026-09-22 14:50:52 | INFO     | __main__:main:15 | ============================================================
2026-09-22 14:50:52 | INFO     | __main__:main:16 | 🚛 Truck Factory Bot ishga tushmoqda...
2026-09-22 14:50:52 | INFO     | __main__:main:17 | Environment: development
2026-09-22 14:50:52 | INFO     | __main__:main:18 | Bot: @baaztrucksbot
2026-09-22 14:50:52 | INFO     | __main__:main:19 | Adminlar: 1 ta
2026-09-22 14:50:52 | INFO     | __main__:main:20 | ============================================================
2026-09-22 14:50:52 | SUCCESS  | __main__:main:31 | ✅ Bot tasdiqlandi: @baaztrucksbot (id=8827463818)
2026-09-22 14:50:52 | SUCCESS  | __main__:main:42 | 🚀 Bot polling boshlandi. Telegramda /start bosing.
